,precision,recall,f1-score,support
negatif,0.8739495798319328,0.8,0.8353413654618473,130.0
netral,0.7522935779816514,0.8541666666666666,0.8,96.0
positif,0.9027777777777778,0.8783783783783784,0.8904109589041096,74.0
accuracy,0.8366666666666667,0.8366666666666667,0.8366666666666667,300.0
macro avg,0.8430069785304539,0.8441816816816817,0.841917441455319,300.0
weighted avg,0.8421306147331512,0.8366666666666667,0.8376159615631475,300.0
