Num_Topics,Coherence_Score
2,0.31239850490929644
3,0.2878041079491884
4,0.3032298786129941
5,0.30100283745683337
6,0.3880164824328067
7,0.3987580925505836
8,0.3785593889346621
9,0.38313774362229563
10,0.46718575350823743
