accuracy,loss,val_accuracy,val_loss,learning_rate,Epoch,Skenario
0.9893503785133362,0.05303145572543144,0.8299999833106995,0.5941609740257263,0.0010000000474974513,6,P3
0.9957401752471924,0.0315951406955719,0.8066666722297668,0.6895413994789124,0.0010000000474974513,7,P3
0.9989350438117981,0.01297167968004942,0.8100000023841858,0.8102146983146667,0.0010000000474974513,8,P3
0.9978700876235962,0.010328826494514942,0.8133333325386047,0.8176812529563904,0.0005000000237487257,9,P3
0.9989350438117981,0.012478847056627274,0.8033333420753479,0.6738144755363464,0.0005000000237487257,10,P3
0.9989350438117981,0.007856303825974464,0.8133333325386047,0.7163788676261902,0.0005000000237487257,11,P3
0.9989350438117981,0.006973041221499443,0.8066666722297668,0.747879683971405,0.0002500000118743628,12,P3
1.0,0.0066041499376297,0.8100000023841858,0.7759529948234558,0.0002500000118743628,13,P3
0.5363709330558777,0.9889186024665833,0.5266666412353516,0.8430880904197693,0.0010000000474974513,1,P4
0.743405282497406,0.5526371598243713,0.7766666412353516,0.5861308574676514,0.0010000000474974513,2,P4
0.9160671234130859,0.2592080235481262,0.800000011920929,0.5096845030784607,0.0010000000474974513,3,P4
0.9640287756919861,0.14795354008674622,0.8133333325386047,0.5499723553657532,0.0010000000474974513,4,P4
0.9904076457023621,0.05084376037120819,0.8199999928474426,0.6105435490608215,0.0010000000474974513,5,P4
0.9960032105445862,0.029074693098664284,0.8199999928474426,0.6405326128005981,0.0010000000474974513,6,P4
0.9984012842178345,0.012609677389264107,0.8266666531562805,0.7138922214508057,0.0005000000237487257,7,P4
0.9984012842178345,0.011836626566946507,0.8266666531562805,0.7805519700050354,0.0005000000237487257,8,P4
0.9992006421089172,0.008940634317696095,0.8233333230018616,0.8547556400299072,0.0005000000237487257,9,P4
0.9992006421089172,0.0062711783684790134,0.8199999928474426,0.8819260597229004,0.0002500000118743628,10,P4
0.9992006421089172,0.006750063505023718,0.8199999928474426,0.9196224212646484,0.0002500000118743628,11,P4
0.5879718661308289,0.8895859718322754,0.6700000166893005,0.6598569750785828,0.0010000000474974513,1,P5
0.7741522789001465,0.5504059195518494,0.8100000023841858,0.5075024962425232,0.0010000000474974513,2,P5
0.9155470132827759,0.2517951428890228,0.846666693687439,0.42971542477607727,0.0010000000474974513,3,P5
0.9763275980949402,0.09651303291320801,0.8133333325386047,0.5181710720062256,0.0010000000474974513,4,P5
0.985284686088562,0.06668363511562347,0.8366666436195374,0.5891385674476624,0.0010000000474974513,5,P5
0.9897632598876953,0.04342539608478546,0.8333333134651184,0.5565142035484314,0.0010000000474974513,6,P5
0.9936020374298096,0.027874479070305824,0.8600000143051147,0.5721468925476074,0.0005000000237487257,7,P5
0.9955214262008667,0.015030600130558014,0.8500000238418579,0.6166782975196838,0.0005000000237487257,8,P5
0.9974408149719238,0.011284112930297852,0.8533333539962769,0.7039938569068909,0.0005000000237487257,9,P5
0.9980806112289429,0.008856913074851036,0.8566666841506958,0.7275481224060059,0.0002500000118743628,10,P5
0.9974408149719238,0.008506199344992638,0.846666693687439,0.7528491616249084,0.0002500000118743628,11,P5
