accuracy,loss,val_accuracy,val_loss,learning_rate,Epoch,Skenario
0.4134615361690521,1.0939459800720215,0.5866666436195374,1.084742784500122,0.0010000000474974513,1,P1
0.7660256624221802,1.0577408075332642,0.6700000166893005,1.0416433811187744,0.0010000000474974513,2,P1
0.7916666865348816,0.9417365789413452,0.5833333134651184,0.8768261671066284,0.0010000000474974513,3,P1
0.7596153616905212,0.6050039529800415,0.7300000190734863,0.9113746881484985,0.0010000000474974513,4,P1
0.7980769276618958,0.5196915864944458,0.7233333587646484,0.8374198079109192,0.0010000000474974513,5,P1
0.8782051205635071,0.3233400583267212,0.75,0.5979532599449158,0.0010000000474974513,6,P1
0.9455128312110901,0.21054679155349731,0.7266666889190674,0.6853837966918945,0.0010000000474974513,7,P1
0.9871794581413269,0.11547231674194336,0.7733333110809326,0.6432420611381531,0.0010000000474974513,8,P1
0.9935897588729858,0.08972197026014328,0.79666668176651,0.6386727690696716,0.0010000000474974513,9,P1
0.9967948794364929,0.061148203909397125,0.8033333420753479,0.6270987391471863,0.0005000000237487257,10,P1
0.9967948794364929,0.05530507117509842,0.8033333420753479,0.6316608190536499,0.0005000000237487257,11,P1
0.9967948794364929,0.05133221670985222,0.8033333420753479,0.6532032489776611,0.0005000000237487257,12,P1
0.9967948794364929,0.04763946309685707,0.8033333420753479,0.6578790545463562,0.0002500000118743628,13,P1
0.9967948794364929,0.041233208030462265,0.8033333420753479,0.6646216511726379,0.0002500000118743628,14,P1
0.49839743971824646,1.079665184020996,0.46000000834465027,1.0478713512420654,0.0010000000474974513,1,P2
0.6426281929016113,0.8530360460281372,0.5299999713897705,0.7407388091087341,0.0010000000474974513,2,P2
0.7900640964508057,0.5428282618522644,0.7566666603088379,0.7395014762878418,0.0010000000474974513,3,P2
0.9086538553237915,0.31126752495765686,0.8100000023841858,0.618626594543457,0.0010000000474974513,4,P2
0.9647436141967773,0.15384599566459656,0.7799999713897705,0.7009397745132446,0.0010000000474974513,5,P2
0.9743589758872986,0.1115739643573761,0.8133333325386047,0.5448495149612427,0.0010000000474974513,6,P2
0.9903846383094788,0.05715872719883919,0.800000011920929,0.603925347328186,0.0010000000474974513,7,P2
0.9983974099159241,0.022306011989712715,0.8066666722297668,0.6996332406997681,0.0010000000474974513,8,P2
0.9983974099159241,0.014869751408696175,0.7900000214576721,0.7950961589813232,0.0010000000474974513,9,P2
0.9983974099159241,0.010367443785071373,0.7799999713897705,0.8330777287483215,0.0005000000237487257,10,P2
1.0,0.007914593443274498,0.7799999713897705,0.866316020488739,0.0005000000237487257,11,P2
1.0,0.0076172491535544395,0.7666666507720947,0.9122936129570007,0.0005000000237487257,12,P2
1.0,0.008034461177885532,0.7699999809265137,0.9256177544593811,0.0002500000118743628,13,P2
1.0,0.0066404701210558414,0.7699999809265137,0.94130939245224,0.0002500000118743628,14,P2
0.43343982100486755,1.0159108638763428,0.5133333206176758,0.8830235600471497,0.0010000000474974513,1,P3
0.6538870930671692,0.6572051048278809,0.6866666674613953,0.6832035183906555,0.0010000000474974513,2,P3
0.8019169569015503,0.46413150429725647,0.7266666889190674,0.5728967189788818,0.0010000000474974513,3,P3
0.9297124743461609,0.23521830141544342,0.699999988079071,0.754486083984375,0.0010000000474974513,4,P3
0.9669861793518066,0.11371738463640213,0.8100000023841858,0.503855288028717,0.0010000000474974513,5,P3
