accuracy,loss,val_accuracy,val_loss,learning_rate
0.5547025203704834,0.8872482180595398,0.7333333492279053,0.6508620977401733,0.0010000000474974513
0.7965450882911682,0.5028345584869385,0.7699999809265137,0.5324349999427795,0.0010000000474974513
0.9232245683670044,0.23763181269168854,0.8500000238418579,0.45036208629608154,0.0010000000474974513
0.9769673943519592,0.08343323320150375,0.8333333134651184,0.5443982481956482,0.0010000000474974513
0.985284686088562,0.04874539375305176,0.8366666436195374,0.5825185179710388,0.0010000000474974513
0.9904030561447144,0.030484970659017563,0.753333330154419,0.9678208231925964,0.0010000000474974513
0.9872040748596191,0.051839545369148254,0.8133333325386047,0.7259963750839233,0.0005000000237487257
0.9968010187149048,0.016003673896193504,0.8233333230018616,0.7702091932296753,0.0005000000237487257
0.9968010187149048,0.015217415988445282,0.8199999928474426,0.8245647549629211,0.0005000000237487257
0.9980806112289429,0.008927712216973305,0.8233333230018616,0.841497004032135,0.0002500000118743628
0.9955214262008667,0.01105203852057457,0.8233333230018616,0.8687903881072998,0.0002500000118743628
